username,repo_name,stars,repo_url
mrdoob,three.js,699000,https://github.com/mrdoob/three.js
libgdx,libgdx,183000,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,139000,https://github.com/BabylonJS/Babylon.js
pmndrs,react-three-fiber,130000,https://github.com/pmndrs/react-three-fiber
aframevr,aframe,127000,https://github.com/aframevr/aframe
ssloy,tinyrenderer,105000,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,92000,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,84000,https://github.com/metafizzy/zdog
lettier,3d-game-shaders-for-beginners,84000,https://github.com/lettier/3d-game-shaders-for-beginners
CesiumGS,cesium,69000,https://github.com/CesiumGS/cesium
a1studmuffin,SpaceshipGenerator,67000,https://github.com/a1studmuffin/SpaceshipGenerator
timzhang642,3D-Machine-Learning,65000,https://github.com/timzhang642/3D-Machine-Learning
spritejs,spritejs,44000,https://github.com/spritejs/spritejs
tensorspace-team,tensorspace,44000,https://github.com/tensorspace-team/tensorspace
intel-isl,Open3D,44000,https://github.com/intel-isl/Open3D
jagenjo,webglstudio.js,43000,https://github.com/jagenjo/webglstudio.js
AaronJackson,vrn,43000,https://github.com/AaronJackson/vrn
YadiraF,PRNet,43000,https://github.com/YadiraF/PRNet
openscad,openscad,40000,https://github.com/openscad/openscad
domlysz,BlenderGIS,38000,https://github.com/domlysz/BlenderGIS
ssloy,tinyraytracer,37000,https://github.com/ssloy/tinyraytracer
mosra,magnum,35000,https://github.com/mosra/magnum
cleardusk,3DDFA,30000,https://github.com/cleardusk/3DDFA
gfxfundamentals,webgl-fundamentals,30000,https://github.com/gfxfundamentals/webgl-fundamentals
jasonlong,isometric-contributions,29000,https://github.com/jasonlong/isometric-contributions
google,model-viewer,28000,https://github.com/google/model-viewer
blender,blender,24000,https://github.com/blender/blender
antvis,L7,23000,https://github.com/antvis/L7
pissang,claygl,22000,https://github.com/pissang/claygl
tinyobjloader,tinyobjloader,21000,https://github.com/tinyobjloader/tinyobjloader
