username,repo_name,stars,repo_url
public-apis,public-apis,1180000,https://github.com/public-apis/public-apis
httpie,httpie,506000,https://github.com/httpie/httpie
neovim,neovim,432000,https://github.com/neovim/neovim
strapi,strapi,360000,https://github.com/strapi/strapi
slatedocs,slate,324000,https://github.com/slatedocs/slate
tiangolo,fastapi,300000,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,286000,https://github.com/hoppscotch/hoppscotch
littlecodersh,ItChat,214000,https://github.com/littlecodersh/ItChat
encode,django-rest-framework,208000,https://github.com/encode/django-rest-framework
YMFE,yapi,207000,https://github.com/YMFE/yapi
paularmstrong,normalizr,201000,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,196000,https://github.com/FallibleInc/security-guide-for-developers
Binaryify,NeteaseCloudMusicApi,196000,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,189000,https://github.com/ccxt/ccxt
microsoft,api-guidelines,170000,https://github.com/microsoft/api-guidelines
Kong,insomnia,161000,https://github.com/Kong/insomnia
shieldfy,API-Security-Checklist,156000,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,129000,https://github.com/learn-anything/learn-anything
youfou,wxpy,127000,https://github.com/youfou/wxpy
BrainJS,brain.js,119000,https://github.com/BrainJS/brain.js
jsdoc,jsdoc,118000,https://github.com/jsdoc/jsdoc
directus,directus,107000,https://github.com/directus/directus
graphile,postgraphile,102000,https://github.com/graphile/postgraphile
ChainSafe,web3.js,101000,https://github.com/ChainSafe/web3.js
micro,micro,100000,https://github.com/micro/micro
postmanlabs,httpbin,98000,https://github.com/postmanlabs/httpbin
ruby-grape,grape,93000,https://github.com/ruby-grape/grape
go-chi,chi,93000,https://github.com/go-chi/chi
star7th,showdoc,89000,https://github.com/star7th/showdoc
zealdocs,zeal,87000,https://github.com/zealdocs/zeal
