username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,95000,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,89000,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,76000,https://github.com/bitwarden/server
ElectronNET,Electron.NET,56000,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,43000,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,37000,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,24000,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,22000,https://github.com/smartstore/SmartStoreNET
microsoft,aspnet-api-versioning,20000,https://github.com/microsoft/aspnet-api-versioning
loic-sharma,BaGet,16000,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,14000,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,12000,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,11000,https://github.com/lampo1024/DncZeus
mjebrahimi,Awesome-Microservices-NetCore,10000,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
MarimerLLC,csla,878,https://github.com/MarimerLLC/csla
riganti,dotvvm,529,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,464,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
chsakell,mvcarchitecture,429,https://github.com/chsakell/mvcarchitecture
antonioCoco,SharPyShell,416,https://github.com/antonioCoco/SharPyShell
brthor,Gofer.NET,389,https://github.com/brthor/Gofer.NET
Maarten88,rrod,368,https://github.com/Maarten88/rrod
YAFNET,YAFNET,367,https://github.com/YAFNET/YAFNET
SapphireDb,SapphireDb,330,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,314,https://github.com/Taritsyn/WebMarkupMin
cornflourblue,aspnet-core-jwt-authentication-api,273,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
IvanJosipovic,BlazorTable,265,https://github.com/IvanJosipovic/BlazorTable
EEParker,aspnetcore-vueclimiddleware,260,https://github.com/EEParker/aspnetcore-vueclimiddleware
grandchamp,Identity.Dapper,241,https://github.com/grandchamp/Identity.Dapper
ElectronNET,electron.net-api-demos,238,https://github.com/ElectronNET/electron.net-api-demos
OpenTouryoProject,OpenTouryo,233,https://github.com/OpenTouryoProject/OpenTouryo
