username,repo_name,stars,repo_url
metafizzy,infinite-scroll,69000,https://github.com/metafizzy/infinite-scroll
ljianshu,Blog,64000,https://github.com/ljianshu/Blog
developit,unfetch,51000,https://github.com/developit/unfetch
jquery-form,form,51000,https://github.com/jquery-form/form
Studio-42,elFinder,40000,https://github.com/Studio-42/elFinder
olifolkerd,tabulator,39000,https://github.com/olifolkerd/tabulator
ded,reqwest,29000,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,25000,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,23000,https://github.com/LeaVerou/bliss
elbywan,wretch,22000,https://github.com/elbywan/wretch
noelboss,featherlight,20000,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,17000,https://github.com/craftpip/jquery-confirm
wendux,Ajax-hook,16000,https://github.com/wendux/Ajax-hook
ptaoussanis,sente,16000,https://github.com/ptaoussanis/sente
joaomilho,Enterprise,15000,https://github.com/joaomilho/Enterprise
nette,tracy,14000,https://github.com/nette/tracy
yisainan,web-interview,13000,https://github.com/yisainan/web-interview
u014427391,jeeplatform,13000,https://github.com/u014427391/jeeplatform
MoOx,pjax,12000,https://github.com/MoOx/pjax
danielm,uploader,10000,https://github.com/danielm/uploader
loadingio,css-spinner,10000,https://github.com/loadingio/css-spinner
codingforentrepreneurs,eCommerce,10000,https://github.com/codingforentrepreneurs/eCommerce
renderedtext,render_async,990,https://github.com/renderedtext/render_async
swlib,saber,881,https://github.com/swlib/saber
webcreate,infinite-ajax-scroll,805,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,726,https://github.com/opensource-socialnetwork/opensource-socialnetwork
rapidjs,rapid.js,702,https://github.com/rapidjs/rapid.js
proyecto26,RestClient,700,https://github.com/proyecto26/RestClient
ni-ze,ssm-BookAppointment,670,https://github.com/ni-ze/ssm-BookAppointment
csxiaoyaojianxian,JavaScriptStudy,538,https://github.com/csxiaoyaojianxian/JavaScriptStudy
