username,repo_name,stars,repo_url
jwasham,coding-interview-university,1650000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,1270000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,1040000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,1030000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,518000,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,510000,https://github.com/kdn251/interviews
azl397985856,leetcode,415000,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,336000,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,260000,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,224000,https://github.com/donnemartin/interactive-coding-challenges
keon,algorithms,190000,https://github.com/keon/algorithms
huihut,interview,182000,https://github.com/huihut/interview
trekhleb,homemade-machine-learning,174000,https://github.com/trekhleb/homemade-machine-learning
halfrost,LeetCode-Go,171000,https://github.com/halfrost/LeetCode-Go
mxgmn,WaveFunctionCollapse,161000,https://github.com/mxgmn/WaveFunctionCollapse
OpenGenus,cosmos,126000,https://github.com/OpenGenus/cosmos
AtsushiSakai,PythonRobotics,121000,https://github.com/AtsushiSakai/PythonRobotics
TheAlgorithms,C-Plus-Plus,117000,https://github.com/TheAlgorithms/C-Plus-Plus
greyireland,algorithm-pattern,115000,https://github.com/greyireland/algorithm-pattern
apachecn,apachecn-algo-zh,103000,https://github.com/apachecn/apachecn-algo-zh
TheAlgorithms,Javascript,98000,https://github.com/TheAlgorithms/Javascript
williamfiset,Algorithms,96000,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,87000,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,81000,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,81000,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,71000,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,67000,https://github.com/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,65000,https://github.com/LeetCode-OpenSource/vscode-leetcode
OlafenwaMoses,ImageAI,61000,https://github.com/OlafenwaMoses/ImageAI
Turfjs,turf,60000,https://github.com/Turfjs/turf
