username,repo_name,stars,repo_url
serverless,serverless,395000,https://github.com/serverless/serverless
localstack,localstack,298000,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,210000,https://github.com/donnemartin/data-science-ipython-notebooks
ramitsurana,awesome-kubernetes,115000,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,109000,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,104000,https://github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,92000,https://github.com/donnemartin/awesome-aws
apereo,cas,86000,https://github.com/apereo/cas
pulumi,pulumi,83000,https://github.com/pulumi/pulumi
bregman-arie,devops-exercises,82000,https://github.com/bregman-arie/devops-exercises
apex,up,82000,https://github.com/apex/up
aws-amplify,amplify-js,80000,https://github.com/aws-amplify/amplify-js
aws,serverless-application-model,79000,https://github.com/aws/serverless-application-model
aws,chalice,78000,https://github.com/aws/chalice
google,go-cloud,77000,https://github.com/google/go-cloud
mozilla,sops,73000,https://github.com/mozilla/sops
caprover,caprover,71000,https://github.com/caprover/caprover
aws,aws-sdk-go,69000,https://github.com/aws/aws-sdk-go
aws,aws-cdk,66000,https://github.com/aws/aws-cdk
aws,aws-sdk-js,66000,https://github.com/aws/aws-sdk-js
boto,boto3,63000,https://github.com/boto/boto3
angristan,openvpn-install,62000,https://github.com/angristan/openvpn-install
awslabs,aws-shell,61000,https://github.com/awslabs/aws-shell
hashicorp,terraform-provider-aws,57000,https://github.com/hashicorp/terraform-provider-aws
aws,aws-sam-cli,55000,https://github.com/aws/aws-sam-cli
donnemartin,dev-setup,54000,https://github.com/donnemartin/dev-setup
aws,amazon-sagemaker-examples,54000,https://github.com/aws/amazon-sagemaker-examples
gruntwork-io,terratest,51000,https://github.com/gruntwork-io/terratest
gruntwork-io,terragrunt,49000,https://github.com/gruntwork-io/terragrunt
99designs,aws-vault,48000,https://github.com/99designs/aws-vault
