username,repo_name,stars,repo_url
flutter,flutter,1190000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,789000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,477000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,438000,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,427000,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,403000,https://github.com/wasabeef/awesome-android-ui
square,okhttp,399000,https://github.com/square/okhttp
android,architecture-samples,386000,https://github.com/android/architecture-samples
square,retrofit,380000,https://github.com/square/retrofit
Solido,awesome-flutter,352000,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,332000,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,317000,https://github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,313000,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,311000,https://github.com/bumptech/glide
airbnb,lottie-android,310000,https://github.com/airbnb/lottie-android
Trinea,android-open-project,306000,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,292000,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,288000,https://github.com/xitu/gold-miner
bilibili,ijkplayer,287000,https://github.com/bilibili/ijkplayer
zxing,zxing,276000,https://github.com/zxing/zxing
codepath,android_guides,273000,https://github.com/codepath/android_guides
square,leakcanary,260000,https://github.com/square/leakcanary
skylot,jadx,258000,https://github.com/skylot/jadx
alibaba,fastjson,233000,https://github.com/alibaba/fastjson
laurent22,joplin,225000,https://github.com/laurent22/joplin
scwang90,SmartRefreshLayout,224000,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,218000,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,205000,https://github.com/react-native-elements/react-native-elements
NativeScript,NativeScript,200000,https://github.com/NativeScript/NativeScript
futurice,android-best-practices,196000,https://github.com/futurice/android-best-practices
