username,repo_name,stars,repo_url
ansible,ansible,478000,https://github.com/ansible/ansible
StreisandEffect,streisand,223000,https://github.com/StreisandEffect/streisand
trailofbits,algo,205000,https://github.com/trailofbits/algo
kubernetes-sigs,kubespray,104000,https://github.com/kubernetes-sigs/kubespray
ansible,awx,96000,https://github.com/ansible/awx
bregman-arie,devops-exercises,82000,https://github.com/bregman-arie/devops-exercises
easzlab,kubeasz,68000,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,45000,https://github.com/geerlingguy/ansible-for-devops
rundeck,rundeck,42000,https://github.com/rundeck/rundeck
ansible-semaphore,semaphore,40000,https://github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,36000,https://github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,34000,https://github.com/KubeOperator/KubeOperator
geerlingguy,mac-dev-playbook,31000,https://github.com/geerlingguy/mac-dev-playbook
ansible-community,molecule,31000,https://github.com/ansible-community/molecule
clong,DetectionLab,27000,https://github.com/clong/DetectionLab
welliamcao,OpsManage,27000,https://github.com/welliamcao/OpsManage
opendevops-cn,opendevops,27000,https://github.com/opendevops-cn/opendevops
ansible-community,ansible-lint,25000,https://github.com/ansible-community/ansible-lint
netbootxyz,netboot.xyz,24000,https://github.com/netbootxyz/netboot.xyz
werf,werf,23000,https://github.com/werf/werf
roots,trellis,22000,https://github.com/roots/trellis
alixaxel,chrome-aws-lambda,22000,https://github.com/alixaxel/chrome-aws-lambda
dev-sec,ansible-collection-hardening,21000,https://github.com/dev-sec/ansible-collection-hardening
ansistrano,deploy,20000,https://github.com/ansistrano/deploy
openshift,openshift-ansible,20000,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,19000,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,19000,https://github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,19000,https://github.com/leucos/ansible-tuto
geerlingguy,ansible-vagrant-examples,19000,https://github.com/geerlingguy/ansible-vagrant-examples
Artemmkin,infrastructure-as-code-tutorial,19000,https://github.com/Artemmkin/infrastructure-as-code-tutorial
