username,repo_name,stars,repo_url
arendst,Tasmota,151000,https://github.com/arendst/Tasmota
rwaldron,johnny-five,122000,https://github.com/rwaldron/johnny-five
arduino,Arduino,116000,https://github.com/arduino/Arduino
MarlinFirmware,Marlin,110000,https://github.com/MarlinFirmware/Marlin
SpacehuhnTech,esp8266_deauther,82000,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,79000,https://github.com/tinygo-org/tinygo
hybridgroup,gobot,71000,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,68000,https://github.com/gurugio/lowlevelprogramming-university
espressif,arduino-esp32,66000,https://github.com/espressif/arduino-esp32
bblanchon,ArduinoJson,51000,https://github.com/bblanchon/ArduinoJson
platformio,platformio-core,50000,https://github.com/platformio/platformio-core
tzapu,WiFiManager,46000,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,38000,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,32000,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,31000,https://github.com/blynkkk/blynk-library
NectarJS,nectarjs,29000,https://github.com/NectarJS/nectarjs
arduino,arduino-cli,29000,https://github.com/arduino/arduino-cli
gioblu,PJON,25000,https://github.com/gioblu/PJON
blynkkk,blynk-server,22000,https://github.com/blynkkk/blynk-server
1technophile,OpenMQTTGateway,22000,https://github.com/1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,20000,https://github.com/scottlawsonbc/audio-reactive-led-strip
intel-isl,OpenBot,18000,https://github.com/intel-isl/OpenBot
crankyoldgit,IRremoteESP8266,17000,https://github.com/crankyoldgit/IRremoteESP8266
nRF24,RF24,17000,https://github.com/nRF24/RF24
Serial-Studio,Serial-Studio,17000,https://github.com/Serial-Studio/Serial-Studio
scottbez1,splitflap,16000,https://github.com/scottbez1/splitflap
stm32duino,Arduino_Core_STM32,15000,https://github.com/stm32duino/Arduino_Core_STM32
ThingPulse,esp8266-oled-ssd1306,14000,https://github.com/ThingPulse/esp8266-oled-ssd1306
Bodmer,TFT_eSPI,13000,https://github.com/Bodmer/TFT_eSPI
blinker-iot,blinker-library,12000,https://github.com/blinker-iot/blinker-library
