username,repo_name,stars,repo_url
atom,atom,549000,https://github.com/atom/atom
dracula,dracula-theme,154000,https://github.com/dracula/dracula-theme
mjswensen,themer,41000,https://github.com/mjswensen/themer
nteract,hydrogen,37000,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,32000,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,28000,https://github.com/miniflux/v2
atom,teletype,23000,https://github.com/atom/teletype
mehcode,awesome-atom,18000,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,16000,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,15000,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,15000,https://github.com/Glavin001/atom-beautify
t9md,atom-vim-mode-plus,14000,https://github.com/t9md/atom-vim-mode-plus
simplepie,simplepie,14000,https://github.com/simplepie/simplepie
ocaml,merlin,13000,https://github.com/ocaml/merlin
MagicStack,MagicPython,12000,https://github.com/MagicStack/MagicPython
kurtmckee,feedparser,12000,https://github.com/kurtmckee/feedparser
atom,apm,12000,https://github.com/atom/apm
file-icons,atom,11000,https://github.com/file-icons/atom
kettanaito,atomic-layout,935,https://github.com/kettanaito/atomic-layout
danhper,atomic-chrome,929,https://github.com/danhper/atomic-chrome
nmdias,FeedKit,903,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,895,https://github.com/nathanbuchar/atom-one-dark-terminal
atom,github,892,https://github.com/atom/github
jesseweed,seti-ui,863,https://github.com/jesseweed/seti-ui
prettier,prettier-atom,754,https://github.com/prettier/prettier-atom
raphamorim,lucario,715,https://github.com/raphamorim/lucario
atom-community,atom-script,712,https://github.com/atom-community/atom-script
fwcd,kotlin-language-server,674,https://github.com/fwcd/kotlin-language-server
jasonmunro,cypht,643,https://github.com/jasonmunro/cypht
jekyll,jekyll-feed,640,https://github.com/jekyll/jekyll-feed
