username,repo_name,stars,repo_url
sindresorhus,awesome,1580000,https://github.com/sindresorhus/awesome
vinta,awesome-python,962000,https://github.com/vinta/awesome-python
avelino,awesome-go,637000,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,578000,https://github.com/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,456000,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,438000,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,417000,https://github.com/jaywcjlove/awesome-mac
sindresorhus,awesome-nodejs,408000,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,403000,https://github.com/wasabeef/awesome-android-ui
521xueweihan,HelloGitHub,403000,https://github.com/521xueweihan/HelloGitHub
DopplerHQ,awesome-interview-questions,395000,https://github.com/DopplerHQ/awesome-interview-questions
trimstray,the-book-of-secret-knowledge,378000,https://github.com/trimstray/the-book-of-secret-knowledge
vsouza,awesome-ios,372000,https://github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,369000,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,352000,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,318000,https://github.com/binhnguyennus/awesome-scalability
tiimgreen,github-cheat-sheet,316000,https://github.com/tiimgreen/github-cheat-sheet
fffaraz,awesome-cpp,310000,https://github.com/fffaraz/awesome-cpp
dypsilon,frontend-dev-bookmarks,308000,https://github.com/dypsilon/frontend-dev-bookmarks
MunGell,awesome-for-beginners,302000,https://github.com/MunGell/awesome-for-beginners
akullpp,awesome-java,285000,https://github.com/akullpp/awesome-java
dkhamsing,open-source-ios-apps,270000,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,266000,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,258000,https://github.com/serhii-londar/open-source-mac-os-apps
ziadoz,awesome-php,252000,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,250000,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,228000,https://github.com/goabstract/Awesome-Design-Tools
sindresorhus,awesome-electron,214000,https://github.com/sindresorhus/awesome-electron
alebcay,awesome-shell,212000,https://github.com/alebcay/awesome-shell
matteocrippa,awesome-swift,206000,https://github.com/matteocrippa/awesome-swift
