username,repo_name,stars,repo_url
ramitsurana,awesome-kubernetes,115000,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,103000,https://github.com/Azure/azure-quickstart-templates
microsoft,recommenders,96000,https://github.com/microsoft/recommenders
pulumi,pulumi,83000,https://github.com/pulumi/pulumi
bregman-arie,devops-exercises,82000,https://github.com/bregman-arie/devops-exercises
google,go-cloud,77000,https://github.com/google/go-cloud
microsoft,computervision-recipes,77000,https://github.com/microsoft/computervision-recipes
mozilla,sops,73000,https://github.com/mozilla/sops
caprover,caprover,71000,https://github.com/caprover/caprover
microsoft,azuredatastudio,63000,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,58000,https://github.com/node-formidable/formidable
midwayjs,midway,41000,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,37000,https://github.com/thangchung/clean-code-dotnet
cloud-custodian,cloud-custodian,36000,https://github.com/cloud-custodian/cloud-custodian
budtmo,docker-android,33000,https://github.com/budtmo/docker-android
simov,grant,33000,https://github.com/simov/grant
nccgroup,ScoutSuite,31000,https://github.com/nccgroup/ScoutSuite
infracost,infracost,29000,https://github.com/infracost/infracost
Qovery,engine,28000,https://github.com/Qovery/engine
tfsec,tfsec,26000,https://github.com/tfsec/tfsec
mlabouardy,komiser,26000,https://github.com/mlabouardy/komiser
Azure,azure-powershell,26000,https://github.com/Azure/azure-powershell
bridgecrewio,checkov,25000,https://github.com/bridgecrewio/checkov
terraform-providers,terraform-provider-azurerm,24000,https://github.com/terraform-providers/terraform-provider-azurerm
Azure,azure-cli,24000,https://github.com/Azure/azure-cli
APIs-guru,openapi-directory,24000,https://github.com/APIs-guru/openapi-directory
Azure,azure-sdk-for-net,23000,https://github.com/Azure/azure-sdk-for-net
Azure,mmlspark,23000,https://github.com/Azure/mmlspark
Azure,MachineLearningNotebooks,23000,https://github.com/Azure/MachineLearningNotebooks
smartstore,SmartStoreNET,22000,https://github.com/smartstore/SmartStoreNET
