username,repo_name,stars,repo_url
babel,babel,389000,https://github.com/babel/babel
nylas,nylas-mail,246000,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,207000,https://github.com/kriasoft/react-starter-kit
avajs,ava,189000,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,174000,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,139000,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,136000,https://github.com/grab/front-end-guide
swc-project,swc,116000,https://github.com/swc-project/swc
jamiebuilds,babel-handbook,99000,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,72000,https://github.com/grommet/grommet
developit,htm,67000,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,61000,https://github.com/angular-fullstack/generator-angular-fullstack
insin,nwb,53000,https://github.com/insin/nwb
documentationjs,documentation,53000,https://github.com/documentationjs/documentation
thinkjs,thinkjs,52000,https://github.com/thinkjs/thinkjs
egoist,poi,52000,https://github.com/egoist/poi
babel,babel-loader,45000,https://github.com/babel/babel-loader
jaredpalmer,backpack,44000,https://github.com/jaredpalmer/backpack
babel,minify,42000,https://github.com/babel/minify
transitive-bullshit,create-react-library,42000,https://github.com/transitive-bullshit/create-react-library
duxianwei520,react,41000,https://github.com/duxianwei520/react
ben-rogerson,twin.macro,39000,https://github.com/ben-rogerson/twin.macro
fkling,astexplorer,38000,https://github.com/fkling/astexplorer
kriasoft,graphql-starter,32000,https://github.com/kriasoft/graphql-starter
andywer,webpack-blocks,30000,https://github.com/andywer/webpack-blocks
tleunen,babel-plugin-module-resolver,30000,https://github.com/tleunen/babel-plugin-module-resolver
babel,babel-eslint,30000,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,27000,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
uidotdev,react-course,25000,https://github.com/uidotdev/react-course
Atyantik,react-pwa,24000,https://github.com/Atyantik/react-pwa
