username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,856000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,483000,https://github.com/nvm-sh/nvm
junegunn,fzf,363000,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,269000,https://github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,263000,https://github.com/mathiasbynens/dotfiles
koalaman,shellcheck,244000,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,219000,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,212000,https://github.com/alebcay/awesome-shell
LeCoupa,awesome-cheatsheets,184000,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,162000,https://github.com/starship/starship
jaywcjlove,linux-command,158000,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,132000,https://github.com/Nyr/openvpn-install
powerline,powerline,125000,https://github.com/powerline/powerline
Bash-it,bash-it,122000,https://github.com/Bash-it/bash-it
shelljs,shelljs,118000,https://github.com/shelljs/shelljs
dylanaraps,neofetch,114000,https://github.com/dylanaraps/neofetch
faressoft,terminalizer,112000,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,109000,https://github.com/jessfraz/dockerfiles
denisidoro,navi,90000,https://github.com/denisidoro/navi
rgcr,m-cli,84000,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,83000,https://github.com/alexanderepstein/Bash-Snippets
codota,TabNine,81000,https://github.com/codota/TabNine
kanaka,mal,76000,https://github.com/kanaka/mal
direnv,direnv,74000,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,71000,https://github.com/skywind3000/awesome-cheatsheets
angristan,openvpn-install,62000,https://github.com/angristan/openvpn-install
enquirer,enquirer,59000,https://github.com/enquirer/enquirer
Mayccoll,Gogh,58000,https://github.com/Mayccoll/Gogh
webpro,awesome-dotfiles,57000,https://github.com/webpro/awesome-dotfiles
b-ryan,powerline-shell,56000,https://github.com/b-ryan/powerline-shell
