username,repo_name,stars,repo_url
bitcoin,bitcoin,524000,https://github.com/bitcoin/bitcoin
ccxt,ccxt,189000,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,167000,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,96000,https://github.com/askmike/gekko
freqtrade,freqtrade,78000,https://github.com/freqtrade/freqtrade
bbfamily,abu,78000,https://github.com/bbfamily/abu
lbryio,lbry-sdk,73000,https://github.com/lbryio/lbry-sdk
yeasy,blockchain_guide,56000,https://github.com/yeasy/blockchain_guide
dvf,blockchain,56000,https://github.com/dvf/blockchain
butor,blackbird,52000,https://github.com/butor/blackbird
lightningnetwork,lnd,50000,https://github.com/lightningnetwork/lnd
spesmilo,electrum,48000,https://github.com/spesmilo/electrum
btcsuite,btcd,42000,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,42000,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,39000,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,35000,https://github.com/bisq-network/bisq
michaelgrosner,tribeca,35000,https://github.com/michaelgrosner/tribeca
Scanate,EthList,34000,https://github.com/Scanate/EthList
Zheaoli,awesome-coins,33000,https://github.com/Zheaoli/awesome-coins
RomelTorres,alpha_vantage,33000,https://github.com/RomelTorres/alpha_vantage
SqueezerIO,squeezer,32000,https://github.com/SqueezerIO/squeezer
coinpride,CryptoList,32000,https://github.com/coinpride/CryptoList
bitpay,wallet,32000,https://github.com/bitpay/wallet
lbryio,lbrycrd,30000,https://github.com/lbryio/lbrycrd
CryptoSignal,Crypto-Signal,29000,https://github.com/CryptoSignal/Crypto-Signal
Jeiwan,blockchain_go,29000,https://github.com/Jeiwan/blockchain_go
btcpayserver,btcpayserver,26000,https://github.com/btcpayserver/btcpayserver
bcoin-org,bcoin,25000,https://github.com/bcoin-org/bcoin
Xel,Blockchain-stuff,24000,https://github.com/Xel/Blockchain-stuff
bitcoin-wallet,bitcoin-wallet,24000,https://github.com/bitcoin-wallet/bitcoin-wallet
