username,repo_name,stars,repo_url
ccxt,ccxt,189000,https://github.com/ccxt/ccxt
hubotio,hubot,158000,https://github.com/hubotio/hubot
python-telegram-bot,python-telegram-bot,145000,https://github.com/python-telegram-bot/python-telegram-bot
timgrossmann,InstaPy,127000,https://github.com/timgrossmann/InstaPy
RasaHQ,rasa,112000,https://github.com/RasaHQ/rasa
discordjs,discord.js,111000,https://github.com/discordjs/discord.js
gunthercox,ChatterBot,111000,https://github.com/gunthercox/ChatterBot
howdyai,botkit,103000,https://github.com/howdyai/botkit
botpress,botpress,92000,https://github.com/botpress/botpress
sfyc23,EverydayWechat,82000,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,74000,https://github.com/leon-ai/leon
EZFNDEV,EZFN-Lobbybot,69000,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,65000,https://github.com/microsoft/botframework-sdk
microsoft,ailab,64000,https://github.com/microsoft/ailab
maxbbraun,trump2cash,59000,https://github.com/maxbbraun/trump2cash
botman,botman,54000,https://github.com/botman/botman
yagop,node-telegram-bot-api,52000,https://github.com/yagop/node-telegram-bot-api
deepmipt,DeepPavlov,52000,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,45000,https://github.com/telegraf/telegraf
axa-group,nlp.js,43000,https://github.com/axa-group/nlp.js
tgbot-collection,YYeTsBot,43000,https://github.com/tgbot-collection/YYeTsBot
jef,streetmerchant,39000,https://github.com/jef/streetmerchant
ohld,igbot,39000,https://github.com/ohld/igbot
PokemonGoF,PokemonGo-Bot,37000,https://github.com/PokemonGoF/PokemonGo-Bot
Yoctol,bottender,36000,https://github.com/Yoctol/bottender
snipsco,snips-nlu,35000,https://github.com/snipsco/snips-nlu
goq,telegram-list,30000,https://github.com/goq/telegram-list
botui,botui,25000,https://github.com/botui/botui
orkestral,venom,25000,https://github.com/orkestral/venom
jesse-ai,jesse,23000,https://github.com/jesse-ai/jesse
