username,repo_name,stars,repo_url
CyC2018,CS-Notes,1270000,https://github.com/CyC2018/CS-Notes
tuvtran,project-based-learning,476000,https://github.com/tuvtran/project-based-learning
azl397985856,leetcode,415000,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,366000,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,310000,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,219000,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,207000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,182000,https://github.com/huihut/interview
yuzu-emu,yuzu,145000,https://github.com/yuzu-emu/yuzu
changkun,modern-cpp-tutorial,130000,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,125000,https://github.com/microsoft/vcpkg
facebook,infer,122000,https://github.com/facebook/infer
TheAlgorithms,C-Plus-Plus,117000,https://github.com/TheAlgorithms/C-Plus-Plus
AnthonyCalandra,modern-cpp-features,116000,https://github.com/AnthonyCalandra/modern-cpp-features
gabime,spdlog,115000,https://github.com/gabime/spdlog
google,tink,113000,https://github.com/google/tink
CoatiSoftware,Sourcetrail,112000,https://github.com/CoatiSoftware/Sourcetrail
ssloy,tinyrenderer,105000,https://github.com/ssloy/tinyrenderer
SFTtech,openage,103000,https://github.com/SFTtech/openage
Qv2ray,Qv2ray,101000,https://github.com/Qv2ray/Qv2ray
ethereum,solidity,98000,https://github.com/ethereum/solidity
antlr,antlr4,98000,https://github.com/antlr/antlr4
OpenRCT2,OpenRCT2,93000,https://github.com/OpenRCT2/OpenRCT2
kyleneideck,BackgroundMusic,93000,https://github.com/kyleneideck/BackgroundMusic
compiler-explorer,compiler-explorer,85000,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,84000,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,81000,https://github.com/codota/TabNine
rigtorp,awesome-modern-cpp,78000,https://github.com/rigtorp/awesome-modern-cpp
nasa,fprime,77000,https://github.com/nasa/fprime
VowpalWabbit,vowpal_wabbit,75000,https://github.com/VowpalWabbit/vowpal_wabbit
