username,repo_name,stars,repo_url
Genymobile,scrcpy,477000,https://github.com/Genymobile/scrcpy
neovim,neovim,432000,https://github.com/neovim/neovim
git,git,377000,https://github.com/git/git
fffaraz,awesome-cpp,310000,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,275000,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,258000,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,244000,https://github.com/FFmpeg/FFmpeg
vim,vim,235000,https://github.com/vim/vim
ggreer,the_silver_searcher,219000,https://github.com/ggreer/the_silver_searcher
curl,curl,204000,https://github.com/curl/curl
huihut,interview,182000,https://github.com/huihut/interview
ruby,ruby,181000,https://github.com/ruby/ruby
google,flatbuffers,161000,https://github.com/google/flatbuffers
oracle,graal,151000,https://github.com/oracle/graal
mpv-player,mpv,149000,https://github.com/mpv-player/mpv
shadowsocks,shadowsocks-libev,143000,https://github.com/shadowsocks/shadowsocks-libev
radareorg,radare2,143000,https://github.com/radareorg/radare2
pbatard,rufus,136000,https://github.com/pbatard/rufus
vurtun,nuklear,133000,https://github.com/vurtun/nuklear
allinurl,goaccess,131000,https://github.com/allinurl/goaccess
microsoft,vcpkg,125000,https://github.com/microsoft/vcpkg
facebook,infer,122000,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,112000,https://github.com/CoatiSoftware/Sourcetrail
jarun,nnn,111000,https://github.com/jarun/nnn
kovidgoyal,kitty,111000,https://github.com/kovidgoyal/kitty
s-matyukevich,raspberry-pi-os,102000,https://github.com/s-matyukevich/raspberry-pi-os
jonas,tig,100000,https://github.com/jonas/tig
hashcat,hashcat,97000,https://github.com/hashcat/hashcat
qmk,qmk_firmware,94000,https://github.com/qmk/qmk_firmware
OpenRCT2,OpenRCT2,93000,https://github.com/OpenRCT2/OpenRCT2
