username,repo_name,stars,repo_url
electron,electron,914000,https://github.com/electron/electron
FiloSottile,mkcert,290000,https://github.com/FiloSottile/mkcert
ovity,octotree,212000,https://github.com/ovity/octotree
segmentio,nightmare,189000,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,158000,https://github.com/jaywcjlove/linux-command
iamadamdev,bypass-paywalls-chrome,149000,https://github.com/iamadamdev/bypass-paywalls-chrome
prisma-archive,chromeless,133000,https://github.com/prisma-archive/chromeless
checkly,headless-recorder,129000,https://github.com/checkly/headless-recorder
google,WebFundamentals,120000,https://github.com/google/WebFundamentals
casesandberg,react-color,96000,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,81000,https://github.com/GoogleChrome/chrome-extensions-samples
uBlock-LLC,uBlock,80000,https://github.com/uBlock-LLC/uBlock
crimx,ext-saladict,71000,https://github.com/crimx/ext-saladict
alvarcarto,url-to-pdf-api,64000,https://github.com/alvarcarto/url-to-pdf-api
chromedp,chromedp,61000,https://github.com/chromedp/chromedp
kangvcar,InfoSpider,55000,https://github.com/kangvcar/InfoSpider
yujiosaka,headless-chrome-crawler,50000,https://github.com/yujiosaka/headless-chrome-crawler
MetaMask,metamask-extension,46000,https://github.com/MetaMask/metamask-extension
firefox-devtools,debugger,46000,https://github.com/firefox-devtools/debugger
Kenshin,simpread,45000,https://github.com/Kenshin/simpread
MontFerret,ferret,45000,https://github.com/MontFerret/ferret
burtonator,polar-bookshelf,43000,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,42000,https://github.com/nieweidong/fetool
mjswensen,themer,41000,https://github.com/mjswensen/themer
bilibili-helper,bilibili-helper-o,35000,https://github.com/bilibili-helper/bilibili-helper-o
brookhong,Surfingkeys,35000,https://github.com/brookhong/Surfingkeys
melonjs,melonJS,33000,https://github.com/melonjs/melonJS
lmk123,crx-selection-translate,33000,https://github.com/lmk123/crx-selection-translate
gildas-lormeau,SingleFile,32000,https://github.com/gildas-lormeau/SingleFile
smooth-code,jest-puppeteer,31000,https://github.com/smooth-code/jest-puppeteer
