username,repo_name,stars,repo_url
metabase,metabase,246000,https://github.com/metabase/metabase
eclipse,deeplearning4j,120000,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,115000,https://github.com/LightTable/LightTable
lk-geimfari,awesomo,79000,https://github.com/lk-geimfari/awesomo
kanaka,mal,76000,https://github.com/kanaka/mal
reagent-project,reagent,42000,https://github.com/reagent-project/reagent
tonsky,datascript,41000,https://github.com/tonsky/datascript
riemann,riemann,40000,https://github.com/riemann/riemann
penpot,penpot,40000,https://github.com/penpot/penpot
weavejester,compojure,39000,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,36000,https://github.com/bbatsov/clojure-style-guide
logseq,logseq,36000,https://github.com/logseq/logseq
izhangzhihao,intellij-rainbow-brackets,35000,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,33000,https://github.com/ring-clojure/ring
clojure-emacs,cider,31000,https://github.com/clojure-emacs/cider
status-im,status-react,31000,https://github.com/status-im/status-react
bhauman,lein-figwheel,29000,https://github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,27000,https://github.com/tallesl/Rich-Hickey-fanclub
viebel,klipse,26000,https://github.com/viebel/klipse
twosigma,beakerx,25000,https://github.com/twosigma/beakerx
pedestal,pedestal,24000,https://github.com/pedestal/pedestal
weavejester,hiccup,22000,https://github.com/weavejester/hiccup
http-kit,http-kit,22000,https://github.com/http-kit/http-kit
razum2um,awesome-clojure,21000,https://github.com/razum2um/awesome-clojure
onyx-platform,onyx,20000,https://github.com/onyx-platform/onyx
babashka,babashka,19000,https://github.com/babashka/babashka
anmonteiro,lumo,18000,https://github.com/anmonteiro/lumo
boot-clj,boot,17000,https://github.com/boot-clj/boot
defold,defold,16000,https://github.com/defold/defold
ptaoussanis,sente,16000,https://github.com/ptaoussanis/sente
