username,repo_name,stars,repo_url
ovity,octotree,212000,https://github.com/ovity/octotree
danger,danger,44000,https://github.com/danger/danger
danger,danger-js,38000,https://github.com/danger/danger-js
gitpod-io,gitpod,37000,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,32000,https://github.com/reviewdog/reviewdog
joho,awesome-code-review,27000,https://github.com/joho/awesome-code-review
houndci,hound,19000,https://github.com/houndci/hound
mbj,mutant,17000,https://github.com/mbj/mutant
ajinabraham,nodejsscan,17000,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,16000,https://github.com/microsoft/vscode-pull-request-github
reviewboard,reviewboard,13000,https://github.com/reviewboard/reviewboard
crev-dev,cargo-crev,13000,https://github.com/crev-dev/cargo-crev
bit4woo,python_sec,937,https://github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,887,https://github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,866,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,758,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,506,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,420,https://github.com/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,409,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,342,https://github.com/mookid/diffr
bsamseth,cpp-project,342,https://github.com/bsamseth/cpp-project
palantir,policy-bot,341,https://github.com/palantir/policy-bot
sjparkinson,static-review,330,https://github.com/sjparkinson/static-review
dpnishant,raptor,317,https://github.com/dpnishant/raptor
burrito-brothers,shiba,278,https://github.com/burrito-brothers/shiba
mgreiler,code-review-checklist,237,https://github.com/mgreiler/code-review-checklist
charignon,github-review,216,https://github.com/charignon/github-review
src-d,lookout,141,https://github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,134,https://github.com/uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,132,https://github.com/thesp0nge/owasp-orizon
