username,repo_name,stars,repo_url
httpie,httpie,506000,https://github.com/httpie/httpie
junegunn,fzf,363000,https://github.com/junegunn/fzf
sharkdp,bat,266000,https://github.com/sharkdp/bat
wagoodman,dive,258000,https://github.com/wagoodman/dive
BurntSushi,ripgrep,247000,https://github.com/BurntSushi/ripgrep
sherlock-project,sherlock,245000,https://github.com/sherlock-project/sherlock
angular,angular-cli,244000,https://github.com/angular/angular-cli
chubin,cheat.sh,241000,https://github.com/chubin/cheat.sh
cli,cli,231000,https://github.com/cli/cli
spf13,cobra,212000,https://github.com/spf13/cobra
alebcay,awesome-shell,212000,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,195000,https://github.com/jesseduffield/lazygit
google,python-fire,190000,https://github.com/google/python-fire
avajs,ava,189000,https://github.com/avajs/ava
tqdm,tqdm,181000,https://github.com/tqdm/tqdm
vercel,pkg,179000,https://github.com/vercel/pkg
sharkdp,fd,170000,https://github.com/sharkdp/fd
chalk,chalk,163000,https://github.com/chalk/chalk
vadimdemedes,ink,160000,https://github.com/vadimdemedes/ink
svg,svgo,160000,https://github.com/svg/svgo
urfave,cli,157000,https://github.com/urfave/cli
gpakosz,.tmux,139000,https://github.com/gpakosz/.tmux
FormidableLabs,webpack-dashboard,138000,https://github.com/FormidableLabs/webpack-dashboard
n8n-io,n8n,135000,https://github.com/n8n-io/n8n
allinurl,goaccess,131000,https://github.com/allinurl/goaccess
pomber,git-history,125000,https://github.com/pomber/git-history
infinitered,ignite,123000,https://github.com/infinitered/ignite
jarun,nnn,111000,https://github.com/jarun/nnn
pallets,click,107000,https://github.com/pallets/click
asdf-vm,asdf,105000,https://github.com/asdf-vm/asdf
