username,repo_name,stars,repo_url
vercel,next.js,661000,https://github.com/vercel/next.js
webpack,webpack,580000,https://github.com/webpack/webpack
rust-lang,rust,541000,https://github.com/rust-lang/rust
gatsbyjs,gatsby,499000,https://github.com/gatsbyjs/gatsby
sveltejs,svelte,464000,https://github.com/sveltejs/svelte
babel,babel,389000,https://github.com/babel/babel
parcel-bundler,parcel,380000,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,362000,https://github.com/JetBrains/kotlin
markedjs,marked,248000,https://github.com/markedjs/marked
evanw,esbuild,237000,https://github.com/evanw/esbuild
vlang,v,235000,https://github.com/vlang/v
vercel,pkg,179000,https://github.com/vercel/pkg
v8,v8,174000,https://github.com/v8/v8
rome,tools,150000,https://github.com/rome/tools
Konloch,bytecode-viewer,120000,https://github.com/Konloch/bytecode-viewer
AssemblyScript,assemblyscript,117000,https://github.com/AssemblyScript/assemblyscript
swc-project,swc,116000,https://github.com/swc-project/swc
nim-lang,Nim,111000,https://github.com/nim-lang/Nim
gopherjs,gopherjs,101000,https://github.com/gopherjs/gopherjs
ziglang,zig,90000,https://github.com/ziglang/zig
compiler-explorer,compiler-explorer,85000,https://github.com/compiler-explorer/compiler-explorer
JetBrains,kotlin-native,71000,https://github.com/JetBrains/kotlin-native
apache,tvm,66000,https://github.com/apache/tvm
numba,numba,64000,https://github.com/numba/numba
elm,compiler,64000,https://github.com/elm/compiler
aalhour,awesome-compilers,59000,https://github.com/aalhour/awesome-compilers
lebab,lebab,54000,https://github.com/lebab/lebab
rescript-lang,rescript-compiler,52000,https://github.com/rescript-lang/rescript-compiler
DoctorWkt,acwj,49000,https://github.com/DoctorWkt/acwj
red,red,45000,https://github.com/red/red
