username,repo_name,stars,repo_url
drone,drone,229000,https://github.com/drone/drone
jenkinsci,jenkins,172000,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,114000,https://github.com/auchenberg/volkswagen
openshift,origin,79000,https://github.com/openshift/origin
gocd,gocd,61000,https://github.com/gocd/gocd
concourse,concourse,56000,https://github.com/concourse/concourse
buildbot,buildbot,46000,https://github.com/buildbot/buildbot
Strider-CD,strider,45000,https://github.com/Strider-CD/strider
gaia-pipeline,gaia,44000,https://github.com/gaia-pipeline/gaia
jenkins-x,jx,38000,https://github.com/jenkins-x/jx
hygieia,Hygieia,36000,https://github.com/hygieia/Hygieia
xcpretty,xcpretty,36000,https://github.com/xcpretty/xcpretty
theonedev,onedev,35000,https://github.com/theonedev/onedev
ovh,cds,34000,https://github.com/ovh/cds
cake-build,cake,29000,https://github.com/cake-build/cake
ligurio,awesome-ci,25000,https://github.com/ligurio/awesome-ci
dancryer,PHPCI,24000,https://github.com/dancryer/PHPCI
werf,werf,23000,https://github.com/werf/werf
tox-dev,tox,22000,https://github.com/tox-dev/tox
dreamans,syncd,19000,https://github.com/dreamans/syncd
houndci,hound,19000,https://github.com/houndci/hound
TheLartians,ModernCppStarter,18000,https://github.com/TheLartians/ModernCppStarter
fabric8io,fabric8,18000,https://github.com/fabric8io/fabric8
shivammathur,setup-php,15000,https://github.com/shivammathur/setup-php
lastbackend,lastbackend,15000,https://github.com/lastbackend/lastbackend
nuke-build,nuke,12000,https://github.com/nuke-build/nuke
FlowCI,flow-core-x,11000,https://github.com/FlowCI/flow-core-x
japaric,trust,11000,https://github.com/japaric/trust
bmitch,churn-php,11000,https://github.com/bmitch/churn-php
Piplin,Piplin,10000,https://github.com/Piplin/Piplin
