username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,789000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,727000,https://github.com/angular/angular
storybookjs,storybook,607000,https://github.com/storybookjs/storybook
ionic-team,ionic-framework,435000,https://github.com/ionic-team/ionic-framework
prettier,prettier,395000,https://github.com/prettier/prettier
leonardomso,33-js-concepts,391000,https://github.com/leonardomso/33-js-concepts
SheetJS,sheetjs,253000,https://github.com/SheetJS/sheetjs
angular,angular-cli,244000,https://github.com/angular/angular-cli
angular,components,214000,https://github.com/angular/components
NativeScript,NativeScript,200000,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,183000,https://github.com/jhipster/generator-jhipster
Eugeny,terminus,176000,https://github.com/Eugeny/terminus
handsontable,handsontable,151000,https://github.com/handsontable/handsontable
sweetalert2,sweetalert2,128000,https://github.com/sweetalert2/sweetalert2
linnovate,mean,121000,https://github.com/linnovate/mean
goldbergyoni,javascript-testing-best-practices,111000,https://github.com/goldbergyoni/javascript-testing-best-practices
coreui,coreui-free-bootstrap-admin-template,107000,https://github.com/coreui/coreui-free-bootstrap-admin-template
codesandbox,codesandbox-client,105000,https://github.com/codesandbox/codesandbox-client
PatrickJS,angular-starter,104000,https://github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,93000,https://github.com/Chocobozzz/PeerTube
angular,protractor,87000,https://github.com/angular/protractor
OnsenUI,OnsenUI,83000,https://github.com/OnsenUI/OnsenUI
text-mask,text-mask,80000,https://github.com/text-mask/text-mask
PatrickJS,awesome-angular,79000,https://github.com/PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,77000,https://github.com/ng-bootstrap/ng-bootstrap
NG-ZORRO,ng-zorro-antd,74000,https://github.com/NG-ZORRO/ng-zorro-antd
ag-grid,ag-grid,71000,https://github.com/ag-grid/ag-grid
rematch,rematch,71000,https://github.com/rematch/rematch
akveo,nebular,70000,https://github.com/akveo/nebular
nrwl,nx,69000,https://github.com/nrwl/nx
